date,Klant 1,Klant 2,Klant 3,Klant 4,Klant 5,Klant 6,Klant 8,Klant 9,Klant 10,Klant 11,Klant 13,Klant 14,Klant 15,Klant 16,Klant 17,Klant 18,Klant 19,Klant 20,Klant 21,Klant 22,Klant 23,Klant 24,Klant 25,Klant 26,Klant 27,Klant 28,Klant 29,Klant 30,Klant 31,Klant 32,Klant 33,Klant 34,Klant 35,Klant 36,Klant 37,Klant 38,Klant 39,Klant 40,Klant 41,Klant 42,Klant 43,Klant 44,Klant 45,Klant 46,Klant 47,Klant 48,Klant 49,Klant 50,Klant 51,Klant 52,Klant 53,Klant 55,Klant 57,Klant 58,Klant 59,Klant 60,Klant 61,Klant 62,Klant 63,Klant 64,Klant 65,Klant 66,Klant 67,Klant 68,Klant 69,Klant 70,Klant 71,Klant 72,Klant 73,Klant 74,Klant 75,Klant 76,Klant 77,Klant 78,Klant 79,Klant 80,Klant 81,Klant 82
2013-01-01,   8.765319,  10.601584,,   0.000000,   4.826965,   4.413072,   6.891042,   5.978495,   8.883373,   6.038408,   1.169683,   7.998234,   1.748996,   4.418711,   0.000000,   5.421139,   2.660881,   0.031360,   5.551817,   6.649127,   0.010780,   4.070203,   5.937383,   2.220410,   0.000000,   3.862940,   6.104302,   9.642109,,   7.101153,   3.885550,   5.376318,   6.575617,   0.454560,   9.556395,   7.021377,   6.910050,  29.176711,   3.843127,   8.094508,   5.160633,   7.298874,   4.398565,   7.145310,  10.370808,   3.937388,  13.327671,   5.580065,  12.590777,   5.092751,   6.285794,   7.726870,   5.867816,   4.156532,   7.687829,   4.390593,  10.783935,   7.730036,   9.382672,   7.743469,   6.204187,   3.551638,   5.155343,   3.794707,   3.026645,   2.277706,   9.800420,   3.759693,   6.868805,   2.293009,   0.000000,   6.571268,   5.354768,   5.913561,  16.566894,  11.569678,   0.000000,
2013-01-02,   8.706060,  13.087744,,   6.041387,   4.831008,   4.838586,   6.950254,   8.045982,  10.086786,   6.960236,   3.745269,   7.658112,   2.029350,   4.652661,   0.065651,   4.818543,   3.411863,   0.083282,   5.237272,   6.784433,   0.000000,   4.288104,   6.693209,   2.444176,   0.000000,   2.825942,   6.045533,   6.649239,,   7.257412,   4.207699,   5.756501,   8.621397,   0.161213,  10.316893,   8.557118,   5.680731,  16.362595,   6.300941,   7.467637,   4.285238,   6.788685,   2.749369,   7.838258,   7.065185,   3.740279,  14.055221,  10.391914,  10.225814,   6.293303,   8.595240,   9.949583,   6.601732,   4.762222,   7.247302,   6.168527,  13.096891,   6.076530,   8.244841,   8.149419,   6.560568,   4.198543,   5.225107,   7.573008,   6.395424,   5.041451,   9.107995,   6.854733,   4.393006,   3.233741,   0.000000,   7.419471,   4.677529,   4.298971,  17.093213,  15.312026,   0.000000,
2013-01-03,   8.468962,   9.450186,,   2.392383,   3.905631,   4.598552,   6.849137,   6.827285,   6.611741,   6.013456,   0.685122,   5.969280,   1.915054,   2.800885,   0.080800,   3.529968,   4.600935,   0.213999,   3.474094,   5.559626,   0.126381,   3.670808,   5.193411,   2.855148,   0.000000,   2.683257,   4.310435,   3.615672,,   6.814989,   4.038660,   3.796150,   8.175939,   0.206044,   7.877545,   5.985177,   4.443732,  13.729102,   5.162348,   6.983999,   2.998897,   6.769469,   4.020823,   5.328043,   6.484849,   2.462874,  11.746730,   6.292040,   8.931304,   5.105855,   7.510455,   6.733689,   5.338542,   3.955969,   6.642808,   4.755932,   8.602772,   5.386564,   7.531592,   5.742214,   6.200029,   6.058359,   3.606552,   6.418754,   3.941084,   2.893527,   5.634110,   7.852838,   6.006839,   2.254969,   0.000000,   5.521111,   2.490760,   2.805552,  14.063013,  14.055156,   0.000000,
2013-01-04,   7.843085,   9.524977,,   0.498905,   4.527359,   4.763097,   5.583672,   7.329491,  10.185791,   4.781960,   4.642362,   6.932838,   2.141674,   3.886560,   0.171270,   5.090056,   4.571515,   0.043431,   3.232518,   4.172126,   0.175929,   3.873359,   4.571724,   2.207915,   0.000000,   2.723742,   5.023158,   5.572798,,   5.586232,   5.143289,   5.081042,   5.522021,   0.189793,   9.086723,   8.441945,   4.794071,   8.567619,   4.763694,   5.512492,   3.508470,   5.934007,   3.647210,   4.583488,   5.541438,   3.892676,  12.806878,   5.326236,   7.443970,   6.259021,   5.537016,   7.245399,   5.500347,   5.007232,   6.761470,   3.193991,   8.640477,   5.886356,   7.626836,   5.696752,   6.576444,   5.710825,   4.239222,   3.815534,   3.768314,   3.412867,   9.108949,   4.821575,   4.412836,   2.000209,   0.000000,   6.901473,   4.007318,   4.802170,  12.842916,  12.012272,   0.000000,
2013-01-05,   9.650098,   9.874722,,   0.801500,   3.400754,   4.181094,   7.014634,   7.418977,   7.149354,   5.901278,   0.948004,   6.597249,   2.508194,   3.632167,   0.145441,   5.276355,   4.220966,   0.015679,   3.118886,   5.075118,   0.038380,   4.182635,   4.800776,   0.713002,   0.000000,   2.956240,   4.765750,   5.925070,,   6.143341,   6.458710,   4.450867,   6.968874,   0.422830,   9.337734,   8.566364,   4.699121,  14.506452,   4.737620,   6.852078,   4.146737,   6.445046,   3.537518,   3.670023,   8.082979,   5.042745,  11.348021,   3.604288,   7.447334,   4.913826,   7.033533,   8.178402,   6.115497,   3.442003,   7.783926,   6.832356,  11.159554,   7.244173,   7.382155,   6.742605,   6.074431,   4.589978,   5.076990,   3.634821,   5.463983,   3.848943,   6.784764,   2.369282,   5.593371,   2.234107,   0.000000,   8.612683,   3.857803,   5.079573,  14.885082,  14.118046,   0.000000,
2013-01-06,   8.492580,   9.541915,,   1.124840,   2.719837,   4.202072,   6.390685,   6.938789,   7.619947,   5.605063,   0.215314,   3.843510,   2.238551,   2.932040,   0.000000,   4.110733,   1.764939,   0.012870,   2.170444,   4.555297,   0.060501,   3.479185,   4.678370,   2.340680,   0.000000,   3.139398,   4.270187,   5.063473,,   5.228242,   2.718843,   4.085861,   7.183280,   0.099089,   7.348204,   5.205645,   3.975222,   7.302343,   3.955204,   5.794375,   3.887854,   6.989514,   3.591585,   6.548167,   9.877559,   2.762442,  10.756026,   6.470304,   7.558687,   5.250868,   6.390360,   7.271984,   5.320287,   4.263356,   5.466274,   3.425410,  11.793748,   5.246852,   7.677346,   5.329502,   5.667875,   6.331843,   5.279594,   4.062704,   3.342507,   1.592871,   6.553645,   1.413097,   5.162943,   1.917729,   0.000000,   4.168471,   4.423364,   4.852842,  15.680855,  13.214801,   0.000000,
2013-01-07,  10.530324,  11.039837,,   0.241044,   4.062990,   4.582247,   6.686157,   7.092069,   7.773865,   6.284882,   3.063712,,   1.912989,   3.695739,   0.000000,   3.672617,   5.263023,   0.065100,   3.624239,   5.039237,   0.093290,   4.252810,   5.702255,   4.150480,   0.000000,   2.907133,   5.295139,   7.934470,,   6.370844,   4.949489,   6.325146,   8.510975,   0.188243,   9.417579,   7.280881,   6.611309,  10.661386,   5.192128,   6.191374,   3.689584,   6.781266,   3.803473,   6.840958,   5.014696,   3.874313,  12.490258,   5.502999,   7.501314,   5.129484,   8.476734,   8.592009,   6.710300,   5.058478,   4.648424,   6.163205,  10.908971,   6.900542,   7.727242,   6.395584,   5.967037,   7.437912,   5.450791,   5.072864,   5.858296,   3.644871,  11.021975,   5.409970,   6.161213,   2.752685,   0.000000,   3.890030,   5.307176,   2.977941,  15.094049,  14.425232,   0.000000,
2013-01-08,   9.528092,  10.379180,,   1.281011,   4.060543,   5.026940,   6.798262,   7.238952,   8.900338,   5.988097,   7.195826,   6.498846,   1.424382,   4.029945,   0.063630,   2.559893,   5.896842,   0.028240,   2.606888,   5.107856,   0.100690,   3.876350,   5.505110,   3.213012,   0.000000,   2.691336,   4.835989,   7.727833,,   6.307340,   4.093384,   4.198954,   8.481411,   0.198838,   9.272269,   7.628365,   5.295933,   9.863182,   5.044728,   6.511707,   3.684746,   5.825018,   4.188495,   6.185956,   7.350920,   3.667471,  12.760320,   4.441845,   7.874973,   4.418796,   7.808643,   9.284635,   5.820042,   4.115797,   5.317619,   4.779637,  11.373510,   6.364975,   7.907225,   6.104486,   7.726543,   5.273003,   4.932734,   6.449200,   4.640303,   2.531372,   5.567864,   6.509915,   7.676463,   2.181324,   0.000000,   6.354004,   4.945889,   2.166064,  14.514310,  10.829314,   0.000000,
2013-01-09,   9.135592,  10.789639,,   4.214787,   3.351206,   5.842623,   6.323882,   7.415953,   8.274769,   5.598429,   0.545621,   5.956909,   2.204343,   3.934813,   0.130050,   4.325044,   3.580205,   0.043761,   2.025934,   6.130075,   0.011879,   5.156232,   4.590997,   3.262292,   0.000000,   3.208889,   4.615720,   1.604259,,   6.781290,   5.007896,   5.535740,   7.116489,   0.517040,   9.597081,   8.319941,   4.415493,   8.308688,   4.479818,   6.814507,   3.422749,   7.017087,   4.247477,   7.068478,   8.566586,   4.312256,  11.203722,   6.817657,   6.980706,   5.922181,   6.805867,   7.351778,   5.133601,   3.532626,   5.411490,   5.911976,  12.413263,   6.884006,   7.573225,   6.498553,   6.808828,   4.092915,   4.904255,   4.866081,   4.406923,   5.486147,   2.127827,   3.471404,   3.808843,   2.737456,   0.000000,   8.505855,   5.210310,   3.939028,  17.016569,  15.915025,   6.627207,
2013-01-10,  10.891020,  12.343791,,   4.008810,   4.181933,   6.761434,   7.716211,   9.074717,   9.782462,   6.434374,   0.243022,   7.560744,   2.856945,   4.448136,   0.119320,   6.098648,   4.879090,   0.167970,   3.676913,   6.240552,   0.109650,   6.331550,   5.820781,   4.267634,   0.000000,   3.172074,   5.263115,   7.206755,,   6.906059,   6.357413,   6.218867,   8.589982,   0.342813,  11.058336,   7.824244,   4.590471,  13.769761,   6.529533,   7.587382,   4.689492,   7.192243,   6.596965,  10.485336,   7.635640,   5.505992,  13.344774,   6.848056,  10.014562,   7.306896,   9.908367,  11.872493,   8.064106,   5.565579,   4.999150,   5.389595,  10.586357,   6.423977,   7.594162,   9.657037,   8.302427,   7.323493,   6.290055,   5.299204,   6.614794,   3.251951,  13.073433,   6.540630,   5.410720,   3.343110,   0.000000,   7.363230,   8.608002,   3.703248,  19.985863,  15.955381,  10.351292,
